sub,param,mean,parameter,cue,stim,noise
28,v_subj(b50N.house).28,-1.9812049999999999,v,b50N,house,constant
29,v_subj(b50N.house).29,-0.986524,v,b50N,house,constant
30,v_subj(b50N.house).30,-1.266976,v,b50N,house,constant
31,v_subj(b50N.house).31,-1.023279,v,b50N,house,constant
8,v_subj(c80F.face).8,1.462206,v,c80F,face,constant
10,v_subj(c80F.face).10,0.533015,v,c80F,face,constant
11,v_subj(c80F.face).11,0.190635,v,c80F,face,constant
13,v_subj(c80F.face).13,1.567473,v,c80F,face,constant
15,v_subj(c80F.face).15,0.957558,v,c80F,face,constant
16,v_subj(c80F.face).16,0.9626709999999999,v,c80F,face,constant
17,v_subj(c80F.face).17,0.670926,v,c80F,face,constant
18,v_subj(c80F.face).18,0.643471,v,c80F,face,constant
19,v_subj(c80F.face).19,0.571063,v,c80F,face,constant
20,v_subj(c80F.face).20,1.142413,v,c80F,face,constant
21,v_subj(c80F.face).21,0.612406,v,c80F,face,constant
22,v_subj(c80F.face).22,0.48737700000000006,v,c80F,face,constant
23,v_subj(c80F.face).23,0.28189899999999996,v,c80F,face,constant
24,v_subj(c80F.face).24,0.6875220000000001,v,c80F,face,constant
25,v_subj(c80F.face).25,1.235906,v,c80F,face,constant
26,v_subj(c80F.face).26,0.932369,v,c80F,face,constant
27,v_subj(c80F.face).27,0.273778,v,c80F,face,constant
28,v_subj(c80F.face).28,1.491865,v,c80F,face,constant
29,v_subj(c80F.face).29,1.087907,v,c80F,face,constant
30,v_subj(c80F.face).30,0.8749290000000001,v,c80F,face,constant
31,v_subj(c80F.face).31,0.7703800000000001,v,c80F,face,constant
8,v_subj(c80F.house).8,-1.361745,v,c80F,house,constant
10,v_subj(c80F.house).10,-0.789872,v,c80F,house,constant
11,v_subj(c80F.house).11,-0.5779350000000001,v,c80F,house,constant
13,v_subj(c80F.house).13,-1.321277,v,c80F,house,constant
15,v_subj(c80F.house).15,-0.942476,v,c80F,house,constant
16,v_subj(c80F.house).16,-1.33517,v,c80F,house,constant
17,v_subj(c80F.house).17,-0.16835,v,c80F,house,constant
18,v_subj(c80F.house).18,-0.928298,v,c80F,house,constant
19,v_subj(c80F.house).19,-1.101956,v,c80F,house,constant
20,v_subj(c80F.house).20,-0.37587,v,c80F,house,constant
21,v_subj(c80F.house).21,-1.026666,v,c80F,house,constant
22,v_subj(c80F.house).22,-0.364125,v,c80F,house,constant
23,v_subj(c80F.house).23,-0.887525,v,c80F,house,constant
24,v_subj(c80F.house).24,-0.693511,v,c80F,house,constant
25,v_subj(c80F.house).25,0.142867,v,c80F,house,constant
26,v_subj(c80F.house).26,-1.073266,v,c80F,house,constant
27,v_subj(c80F.house).27,-0.656623,v,c80F,house,constant
28,v_subj(c80F.house).28,-1.6316700000000002,v,c80F,house,constant
29,v_subj(c80F.house).29,-0.47768900000000003,v,c80F,house,constant
30,v_subj(c80F.house).30,-1.211524,v,c80F,house,constant
31,v_subj(c80F.house).31,-0.503934,v,c80F,house,constant
8,t_subj.8,1.017089,t,constant,constant,constant
10,t_subj.10,1.341248,t,constant,constant,constant
11,t_subj.11,1.6789310000000002,t,constant,constant,constant
13,t_subj.13,1.041644,t,constant,constant,constant
15,t_subj.15,1.21916,t,constant,constant,constant
16,t_subj.16,1.177886,t,constant,constant,constant
17,t_subj.17,1.242579,t,constant,constant,constant
18,t_subj.18,1.659548,t,constant,constant,constant
19,t_subj.19,1.089193,t,constant,constant,constant
20,t_subj.20,0.8567799999999999,t,constant,constant,constant
21,t_subj.21,1.4153360000000001,t,constant,constant,constant
22,t_subj.22,1.246019,t,constant,constant,constant
23,t_subj.23,1.2526950000000001,t,constant,constant,constant
24,t_subj.24,1.1990040000000002,t,constant,constant,constant
25,t_subj.25,0.733295,t,constant,constant,constant
26,t_subj.26,0.848558,t,constant,constant,constant
27,t_subj.27,1.4702790000000001,t,constant,constant,constant
28,t_subj.28,0.972657,t,constant,constant,constant
29,t_subj.29,0.8826799999999999,t,constant,constant,constant
30,t_subj.30,1.172059,t,constant,constant,constant
31,t_subj.31,0.9848370000000001,t,constant,constant,constant
8,z_subj(a80H).8,0.580288,z,a80H,constant,constant
10,z_subj(a80H).10,0.595945,z,a80H,constant,constant
11,z_subj(a80H).11,0.598352,z,a80H,constant,constant
13,z_subj(a80H).13,0.664665,z,a80H,constant,constant
15,z_subj(a80H).15,0.612102,z,a80H,constant,constant
16,z_subj(a80H).16,0.672535,z,a80H,constant,constant
17,z_subj(a80H).17,0.66057,z,a80H,constant,constant
18,z_subj(a80H).18,0.6235890000000001,z,a80H,constant,constant
19,z_subj(a80H).19,0.651155,z,a80H,constant,constant
20,z_subj(a80H).20,0.6177779999999999,z,a80H,constant,constant
21,z_subj(a80H).21,0.584904,z,a80H,constant,constant
22,z_subj(a80H).22,0.498221,z,a80H,constant,constant
23,z_subj(a80H).23,0.641826,z,a80H,constant,constant
24,z_subj(a80H).24,0.617011,z,a80H,constant,constant
25,z_subj(a80H).25,0.352419,z,a80H,constant,constant
26,z_subj(a80H).26,0.588655,z,a80H,constant,constant
27,z_subj(a80H).27,0.60123,z,a80H,constant,constant
28,z_subj(a80H).28,0.49535100000000004,z,a80H,constant,constant
29,z_subj(a80H).29,0.5702649999999999,z,a80H,constant,constant
30,z_subj(a80H).30,0.6554979999999999,z,a80H,constant,constant
31,z_subj(a80H).31,0.624948,z,a80H,constant,constant
8,z_subj(b50N).8,0.662546,z,b50N,constant,constant
10,z_subj(b50N).10,0.639655,z,b50N,constant,constant
11,z_subj(b50N).11,0.592946,z,b50N,constant,constant
13,z_subj(b50N).13,0.629221,z,b50N,constant,constant
15,z_subj(b50N).15,0.63476,z,b50N,constant,constant
16,z_subj(b50N).16,0.686521,z,b50N,constant,constant
17,z_subj(b50N).17,0.62507,z,b50N,constant,constant
18,z_subj(b50N).18,0.636835,z,b50N,constant,constant
19,z_subj(b50N).19,0.697422,z,b50N,constant,constant
20,z_subj(b50N).20,0.564656,z,b50N,constant,constant
21,z_subj(b50N).21,0.618287,z,b50N,constant,constant
22,z_subj(b50N).22,0.482498,z,b50N,constant,constant
23,z_subj(b50N).23,0.700229,z,b50N,constant,constant
24,z_subj(b50N).24,0.682381,z,b50N,constant,constant
25,z_subj(b50N).25,0.534144,z,b50N,constant,constant
26,z_subj(b50N).26,0.6286189999999999,z,b50N,constant,constant
27,z_subj(b50N).27,0.67247,z,b50N,constant,constant
28,z_subj(b50N).28,0.633717,z,b50N,constant,constant
29,z_subj(b50N).29,0.588915,z,b50N,constant,constant
30,z_subj(b50N).30,0.687841,z,b50N,constant,constant
31,z_subj(b50N).31,0.663289,z,b50N,constant,constant
8,z_subj(c80F).8,0.622817,z,c80F,constant,constant
10,z_subj(c80F).10,0.5962390000000001,z,c80F,constant,constant
11,z_subj(c80F).11,0.654664,z,c80F,constant,constant
13,z_subj(c80F).13,0.665061,z,c80F,constant,constant
15,z_subj(c80F).15,0.691533,z,c80F,constant,constant
16,z_subj(c80F).16,0.734251,z,c80F,constant,constant
17,z_subj(c80F).17,0.629221,z,c80F,constant,constant
18,z_subj(c80F).18,0.662349,z,c80F,constant,constant
19,z_subj(c80F).19,0.705066,z,c80F,constant,constant
20,z_subj(c80F).20,0.640525,z,c80F,constant,constant
21,z_subj(c80F).21,0.591396,z,c80F,constant,constant
22,z_subj(c80F).22,0.5176069999999999,z,c80F,constant,constant
23,z_subj(c80F).23,0.704561,z,c80F,constant,constant
24,z_subj(c80F).24,0.677592,z,c80F,constant,constant
25,z_subj(c80F).25,0.62936,z,c80F,constant,constant
26,z_subj(c80F).26,0.611421,z,c80F,constant,constant
27,z_subj(c80F).27,0.720691,z,c80F,constant,constant
28,z_subj(c80F).28,0.7119850000000001,z,c80F,constant,constant
29,z_subj(c80F).29,0.6539550000000001,z,c80F,constant,constant
30,z_subj(c80F).30,0.6968810000000001,z,c80F,constant,constant
31,z_subj(c80F).31,0.706754,z,c80F,constant,constant
