acc,choice,len_go_tsteps,len_ss_tsteps,rt,tparams,trial,trial_type
1,go,1409,0,0.4878128846658462,"{'ZZ': 0.18498247476667917, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470362688568555, 'st': 0.0001, 'mu': 1.1939552556125088, 'Ter_hi': 0.34704999999999997, 'v': 1.09, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",15,go
1,go,1258,0,0.47282437359825136,"{'ZZ': 0.18498247476667917, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470362688568555, 'st': 0.0001, 'mu': 1.1939552556125088, 'Ter_hi': 0.34704999999999997, 'v': 1.09, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",16,go
1,go,1422,0,0.4891642770629946,"{'ZZ': 0.18498247476667917, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470362688568555, 'st': 0.0001, 'mu': 1.1939552556125088, 'Ter_hi': 0.34704999999999997, 'v': 1.09, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",17,go
1,go,1323,0,0.4792951726188979,"{'ZZ': 0.18498247476667917, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470362688568555, 'st': 0.0001, 'mu': 1.1939552556125088, 'Ter_hi': 0.34704999999999997, 'v': 1.09, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",18,go
1,go,2353,0,0.5822388310059167,"{'ZZ': 0.18498247476667917, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470362688568555, 'st': 0.0001, 'mu': 1.1939552556125088, 'Ter_hi': 0.34704999999999997, 'v': 1.09, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",19,go
1,go,872,0,0.4340985223445384,"{'ZZ': 0.18498247476667917, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470362688568555, 'st': 0.0001, 'mu': 1.1939552556125088, 'Ter_hi': 0.34704999999999997, 'v': 1.09, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",20,go
1,go,1081,0,0.45503094326164123,"{'ZZ': 0.18498247476667917, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470362688568555, 'st': 0.0001, 'mu': 1.1939552556125088, 'Ter_hi': 0.34704999999999997, 'v': 1.09, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",21,go
1,go,1270,0,0.47393215666297306,"{'ZZ': 0.18498247476667917, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470362688568555, 'st': 0.0001, 'mu': 1.1939552556125088, 'Ter_hi': 0.34704999999999997, 'v': 1.09, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",22,go
1,go,1555,0,0.5023766222793518,"{'ZZ': 0.18498247476667917, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470362688568555, 'st': 0.0001, 'mu': 1.1939552556125088, 'Ter_hi': 0.34704999999999997, 'v': 1.09, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",23,go
1,go,1189,0,0.4658689012046897,"{'ZZ': 0.18498247476667917, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470362688568555, 'st': 0.0001, 'mu': 1.1939552556125088, 'Ter_hi': 0.34704999999999997, 'v': 1.09, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",24,go
