acc,choice,len_go_tsteps,len_ss_tsteps,rt,tparams,trial,trial_type
1,stop,2531,1011,0.6000877298219088,"{'ZZ': 0.1850350035546676, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470390795517297, 'st': 0.0001, 'mu': 0.003899072302130255, 'Ter_hi': 0.34704999999999997, 'v': 0.073, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",14,stop
1,stop,2531,1012,0.6001149321224033,"{'ZZ': 0.1850350035546676, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470390795517297, 'st': 0.0001, 'mu': 0.003899072302130255, 'Ter_hi': 0.34704999999999997, 'v': 0.073, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",15,stop
1,stop,2075,556,0.554538340152864,"{'ZZ': 0.1850350035546676, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470390795517297, 'st': 0.0001, 'mu': 0.003899072302130255, 'Ter_hi': 0.34704999999999997, 'v': 0.073, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",16,stop
1,stop,2523,1004,0.5993199047341601,"{'ZZ': 0.1850350035546676, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470390795517297, 'st': 0.0001, 'mu': 0.003899072302130255, 'Ter_hi': 0.34704999999999997, 'v': 0.073, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",17,stop
1,stop,2531,1012,0.6000919535015151,"{'ZZ': 0.1850350035546676, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470390795517297, 'st': 0.0001, 'mu': 0.003899072302130255, 'Ter_hi': 0.34704999999999997, 'v': 0.073, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",18,stop
1,stop,2401,882,0.5870942700220879,"{'ZZ': 0.1850350035546676, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470390795517297, 'st': 0.0001, 'mu': 0.003899072302130255, 'Ter_hi': 0.34704999999999997, 'v': 0.073, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",19,stop
1,stop,2417,898,0.588715060571762,"{'ZZ': 0.1850350035546676, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470390795517297, 'st': 0.0001, 'mu': 0.003899072302130255, 'Ter_hi': 0.34704999999999997, 'v': 0.073, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",20,stop
1,stop,2530,1011,0.6000046294624727,"{'ZZ': 0.1850350035546676, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470390795517297, 'st': 0.0001, 'mu': 0.003899072302130255, 'Ter_hi': 0.34704999999999997, 'v': 0.073, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",21,stop
0,go,2358,839,0.5828302396285779,"{'ZZ': 0.1850350035546676, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470390795517297, 'st': 0.0001, 'mu': 0.003899072302130255, 'Ter_hi': 0.34704999999999997, 'v': 0.073, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",22,stop
1,stop,2530,1010,0.6000306648124161,"{'ZZ': 0.1850350035546676, 'z_lo': 0.18495, 'z_hi': 0.18505, 'a': 0.37, 'sz': 0.0001, 'eta': 0.14, 's2': 0.01, 'TR': 0.3470390795517297, 'st': 0.0001, 'mu': 0.003899072302130255, 'Ter_hi': 0.34704999999999997, 'v': 0.073, 'Ter_lo': 0.34695, 'Ter': 0.347, 'z': 0.185}",23,stop
